# 【理財達人秀】川普喊降息 台股大贏家？大立光跌停 封測.被動高換低？聯發科帶頭 有底部起漲股！2026.09.07
# 理財達人秀 EBCmoneyshow 20260907 https://youtu.be/baoJt33Pky0 method=whisper-small

[00:05] 歡迎收看《最佛心幽默》的財經節目《理財達人秀》
[44:37] 也是因為它台積電的權重
[44:38] 沒有那麼高
[44:39] 是 對 因為畢竟最近台積電
[44:40] 股價是比較溫一點嘛
[44:42] 所以我覺得整體上來看
[44:43] 因為台積電
[44:44] 它的權重沒有太低
[44:45] 所以我覺得大盤在長的時候
[44:46] 它一定不會落對
[44:47] 那第二名是所謂的連發科
[44:49] 這就厲害啦
[44:50] 對 這就厲害了
[44:51] 佔了大概佔了七%的一個權重
[44:53] 所以它這兩家公司
[44:54] 加起來佔了快一半了
[44:56] 那你可以看到像
[44:57] 左右的鴻海 台達電
[44:59] 微影 然後華碩 偽創 聯詠等等
[45:02] 其實基本上來講的話
[45:04] 整個樣子
[45:05] 就是整個AI的一個樣子
[45:07] 所以我們在這樣情況裡面
[45:09] 來看一下
[45:10] 剛剛提到的嘛
[45:11] 不管是就報仇率的表現
[45:13] 或是在抵抗波動的表現
[45:14] 它表現非常好
[45:15] 那現在有一個特殊的地方是
[45:17] 因為過去這幾年
[45:19] 累積非常好的積效
[45:20] 所以它在2025年掛牌之後
[45:22] 配洗了這幾次
[45:23] 到這次9月份配洗
[45:25] 配了0.87元
[45:28] 很多人可能會覺得
[45:29] 之前如果跟高洗比
[45:31] 甚至不完
[45:32] 高洗比較溫
[45:33] 這段時間
[45:34] 敢跟高洗比就不簡單囉
[45:36] 因為最近的高洗表現很好
[45:38] 而它的配洗是完全不會輸給高洗的
[45:41] 對 因為它配到多少年挖
[45:43] 配洗是15.6元
[45:45] 對 是掛牌的新高
[45:47] 那這個配洗的這個配洗率
[45:49] 真的是已經跟高洗
[45:50] 可以這個對證的情況
[45:52] 那 而且特性在哪
[45:54] 它過去配洗
[45:55] 我覺得都是足技在成長
[45:57] 那足技成長以外
[45:59] 它其實每一季的這個
[46:01] 所謂的填洗率非常高
[46:03] 大概2到3天
[46:04] 就可以完全填洗了
[46:05] 所以代表這檔ETF
[46:07] 在所謂的配洗高的過程裡面
[46:09] 它的所謂的填洗的記錄
[46:11] 也非常的好
[46:12] 那這一次又配了
[46:13] 15.6的年挖配洗
[46:15] 我覺得就可以特別留意它
[46:17] 那我們剛剛講了
[46:18] 如果跟所謂的
[46:19] 主要的高古洗
[46:21] 來做一個對比的話
[46:23] 你看它這一次年挖配洗
[46:25] 是15.6%
[46:26] 基本上是名列前茅
[46:27] 而且你不要忘它是
[46:29] 市值動能
[46:30] 它不是高古洗的
[46:31] 所以可能大部分
[46:32] 有來自資本利得的部分
[46:34] 大家不要太擔心所有的稅對不對
[46:36] 對 因為它現在我覺得
[46:37] 這一次的配洗目的
[46:38] 就是希望大家可以洗它裝賺
[46:41] 也就是說
[46:42] 如果第四季台股會創新高
[46:44] 如果真的到5萬5的話
[46:46] 當然你所謂的這個價格的這個
[46:48] 中間的價差
[46:49] 你可以賺得到
[46:50] 那另外利息
[46:51] 雖然說配了15.6
[46:52] 但如果說順利的話
[46:53] 應該填洗機率也比較高
[46:55] 所以我覺得這就代表說
[46:56] 如果大家在現階段
[46:58] 會擔心說
[46:59] 可能接下來波動比較大
[47:00] 那我覺得這個所謂的
[47:01] 能夠兼顧所謂的高古洗
[47:03] 又兼顧到所謂的一個
[47:05] 報酬有動能因素的
[47:06] 我覺得大家就可以特別的觀察
[47:08] 那也要提醒大家就是說
[47:10] 這樣ETF
[47:11] 它的這個你想要領到
[47:13] 0.98的配洗的話
[47:15] 0.87的配洗
[47:16] 對 0.87的配洗的話
[47:18] 它的最後買金是9月14號
[47:20] 9月14號還有一些時間
[47:22] 對 那9月14號是除洗日
[47:24] 那它配洗就是
[47:25] 10月10號就可以領得到錢了
[47:27] 所以我覺得
[47:28] 在這段時間裡面
[47:29] 剛才提到嘛
[47:30] 因為剛好這個時間
[47:31] 也非常巧妙
[47:32] 對台股也接近力的新高了
[47:34] 所以大家可能有點擔心說
[47:35] 不知道怎麼停利
[47:36] 而且也很擔心說下禮拜
[47:38] 終究連準會會做什麼事
[47:40] 我們也不能確定
[47:41] 對 所以有些時候
[47:42] 它透過配洗
[47:44] 幫你做一些被動式的停利
[47:46] 那等到A1許10月份
[47:47] 有許拉回
[47:48] 你剛好這個配洗進來
[47:50] 又可以做一些加碼的動作
[47:51] 所以如果以這樣的情況
[47:53] 我會跟大家講
[47:54] 你怎麼去配置你的投資組合
[47:56] 我覺得它已經取代
[47:57] 很多的40新PF了
[47:58] 所以如果是積極型的
[48:00] 可以把它配置到50%
[48:01] 好 核心配置喔
[48:02] 對 那搭配高息跟主動
[48:04] 我覺得就可以完成
[48:05] 所謂的行情在漲的時候
[48:07] 也許有比較好的跡象
[48:08] 那你不要穩健行的話
[48:09] 當然高息跟所謂的
[48:11] 市值型我覺得配到8成
[48:13] 那主動型配2成
[48:14] 我覺得就是目前來看
[48:16] 非常好的一個配置的方法
[48:17] 好 這也是投資人之福
[48:18] 要兼顧好多事喔
[48:19] 要像市值一樣選大公司
[48:21] 可是要有動能啊
[48:22] 才能像中小型股漲那麼多
[48:24] 也要有配洗啊
[48:25] 幫我們做一些停利的機制
[48:27] 這邊非常謝謝浩宇哥
[48:29] 謝謝
[48:30] 好 如果在所謂大盤比較不穩定
[48:32] 或是您覺得要居高思維的時候
[48:34] 市值型一定是您的選擇
[48:36] 可是看到其他的股票在衝
[48:37] 又覺得我需要動能喔
[48:39] 所以現在ETF真的很厲害
[48:41] 這檔009803
[48:43] 它就是要兼顧市值的穩
[48:45] 還有動能的衝
[48:46] 甚至呢 也考慮到
[48:47] 大家對於洗的需求喔
[48:49] 這一次的配洗是0.87元
[48:51] 年化的直立率可以高達
[48:53] 15.6個百分點
[48:55] 最後的初期買金日是9月14號
[48:58] 所以有興趣的朋友
[48:59] 不妨參考一下
[49:00] 面面俱到的這檔ETF
[49:02] 那當然照還是要提醒
[49:04] 不管購買ETF
[49:05] 或是購買基金
[49:06] 都是有賺有賠有風險的
[49:08] 身購前一定要想約
[49:10] 公開書明書喔
[49:11] 好 今天非常謝謝三位來賓
[49:13] 來到現場
[49:14] 台股只差800多點
[49:15] 就可能要衝歷史新高了
[49:17] 但量能還是略有不足
[49:18] 以及大家還是擔心
[49:19] 聯準會的動作
[49:20] 且站且走
[49:21] 可是我們今天
[49:22] 就是從很好的基本面
[49:24] 幫你找出
[49:25] 股價位階中低
[49:26] 蓄勢待發
[49:28] 台股的可用之兵
[49:29] 是非常多的
[49:30] 也希望今天的理財單
[49:31] 希望這支影片
[49:32] 投資給我幫助喔
[49:33] 明天再會了 拜拜
